"obj_1","obj_2","obj_3","obj_4","odd","reason_for_similarity"
"Pella","Alexandria","Rome","Sydney","Sydney","The others are ancient cities."
"Massachusetts","Rhode Island","Nevada","New Mexico","Nevada","The others are in the Eastern Time Zone."
"Greece","Cyprus","Canada","Japan","Canada","The others are in Eurasia"
"Right to health","Right to work","Right to freedom of opinion","Right to property","Right to property","The others are related to personal development and expression"
"Right to life","Right to a fair trial","Right to work","Right to bear arms","Right to bear arms","The others are socio-economic rights"
"Jean Grey","Storm","Starfire","Wolverine","Starfire","The others are members of X-Men"
"Brioche","Challah","Baguette","Scone","Scone","The others are French origin breads."
"Banco Central Burglary, Northern Bank Robbery, Dunbar Armored Robbery, Boston Museum Heist, Boston Museum Heist, The others are bank robberies.",,,,,
"Drill, Sander, Screwdriver, Hammer, Sander, The others are hand tools that have a pointed end.",,,,,
"Stick Insect","Praying Mantis","Ant","Butterfly","Butterfly","The others are not capable of flight"
"Deafness Research","Aeronautics","Photophone","Radio Astronomy","Deafness Research","The others are related to electromagnetic waves."
"Calculus","Optics","Biology","Thermodynamics","Calculus","The others are branches of Physics"
"Aconcagua","Mount Kosciuszko","Mount Vinson","Mount Kilimanjaro","Mount Kosciuszko","The others are located in the Western Hemisphere."
"Osso Buco","Saltimbocca","Gelato","Pesto","Gelato","The others are meat-based Italian dishes."
"obj_3: Clownfish",,,,,
"obj_4: Penguin",,,,,
"odd: Penguin",,,,,
"reason_for_similarity: The others are fish",,,,,
"Sledgehammer, Mallet, Saw, Screwdriver, Saw, The others are types of hammers.",,,,,
"Skull","Scapula","Mandible","Femur","Femur","The others are part of the skull"
"Bell's wife, Mabel Gardiner Hubbard","Bell's mother","Bell's patent 174465","Bell's telephone","Bell's patent 174465","The others are people"
"Osteoarthritis","Rheumatoid Arthritis","Gastritis","Gout","Gastritis","The others are types of arthritis"
"Cleopatra's Pearl","Cleopatra's Emerald","Cleopatra's Barge","Cleopatra's Needle","Cleopatra's Barge","The others are gemstones."
"Brazilian Santos","Colombian Supremo","Costa Rican Tarrazu","Ethiopian Yirgacheffe","Ethiopian Yirgacheffe","The others are from Latin America."
"The Pink Panthers Heist","The Banco Central Heist","The Mona Lisa Theft","The Gardner Museum Theft","The Gardner Museum Theft","The others were unsolved."
"The Banco Central Heist","The Antwerp Diamond Heist","The Harry Winston Heist","The Great Train Robbery","The Great Train Robbery","The others are diamond heists."
"Avocado","Banana","Lemon","Raspberry","Avocado","The others are berries"
"Avocado","Banana","Lemon","Pineapple","Pineapple","The others are seedless"
"Avocado","Banana","Lemon","Strawberry","Strawberry","The others have a tough outer peel"
"Avocado","Banana","Lemon","Blueberry","Blueberry","The others are typically eaten with their peel"
"Avocado","Banana","Lemon","Apple","Lemon","The others are sweet when ripe"
"Asthma, COPD, Stroke, Diabetes, Stroke, The others are Chronic Respiratory Diseases.",,,,,
"Squirrel","Rabbit","Dolphin","Pigeon","Dolphin","The others are mammals"
"Beef Taco","Fish Taco","Chicken Taco","Hamburger","Hamburger","The others are types of tacos."
"Quagmire","Peter Griffin","Joe","Brian","Brian","The others are human characters in Family Guy"
"obj_3: Raspberry Leaf Tea",,,,,
"obj_4: Oolong Raspberry Tea",,,,,
"odd: Raspberry Leaf Tea",,,,,
"reason_for_similarity: The others are Oolong teas.",,,,,
"Marigold","Sunflower","Maple Tree","Aloe Vera","Aloe Vera","The others are not succulents"
"New York City Subway","San Francisco Cable Car","Chicago 'L'","London Underground","San Francisco Cable Car","The others are underground metros."
"Thomas Jefferson","Benjamin Franklin","John Jay","Alexander Hamilton","Alexander Hamilton","The others are Founding Fathers who never served as U.S. Secretary of the Treasury."
"Discus","Angelfish","Butterfly Fish","Goldfish","Goldfish","The others are types of tropical fish"
"Shepherd's Staff","Carpenter's Tools","King's Scepter","Chef's Knife","Chef's Knife","The others are symbols of leadership"
"Phoenix","Bamboo","Lion","Tulip","Phoenix","The others are plants"
"Aristotle's Rhetoric","Aristotle's Poetics","Plato's Republic","The Art of War by Sun Tzu","The Art of War by Sun Tzu","The others are works by Greek philosophers."
"Poison Ivy","Poison Oak","Poison Sumac","Ivy League","Ivy League","The others are poisonous plants."
"Patty","Selma","Bart","Lisa","Lisa","The others are smokers"
"Mount Rushmore","Statue of Liberty","Golden Gate Bridge","Eiffel Tower","Eiffel Tower","The others are in the United States"
"Homo Neanderthalensis","Homo Heidelbergensis","Homo Floresiensis","Homo Sapiens","Homo Sapiens","The others are extinct species of the genus Homo."
"Fred Flintstone","Barney Rubble","Popeye","Sherlock Holmes","Sherlock Holmes","The others are animated characters"
"Battle of the Bulge, Battle of Iwo Jima, Battle of Agincourt, Battle of Hastings, Battle of Agincourt, The others are battles from World War II.",,,,,
"Spain","Portugal","Sweden","Japan","Sweden","The others are Iberian Peninsula countries."
"Norway","Sweden","Italy","Japan","Italy","The others are Scandinavian countries"
"Aristotle's Nicomachean Ethics","Aristotle's Eudemian Ethics","Platonic Justice","Kant's Critique of Pure Reason","Kant's Critique of Pure Reason","The others are works related to Ancient Greek philosophy."
"Ariel","Ursula","Snow White","Cinderella","Ursula","The others are princesses"
"Edison's Incandescent Bulb","Edison's Electric Locomotive","Edison's Phonograph","Picasso's Guernica","Picasso's Guernica","The others are Edison's inventions."
"I Have a Dream","Letter from Birmingham Jail","Gettysburg Address","The Raven","The Raven","The others are speeches"
"Bad","Off the Wall","The Way You Make Me Feel","Thriller","The Way You Make Me Feel","The others are Michael Jackson's albums."
"Learning to paint","Becoming a chess master","Playing a video game","Reading a book","Reading a book","The others are skills that require practice to improve"
"Cleopatra's Pearl","Cleopatra's Emerald","Cleopatra's Needle","Cleopatra's Asp","Cleopatra's Needle","The others are gemstones related to Cleopatra."
"Battle of Marathon","Battle of Salamis","Battle of Thermopylae","Battle of Verdun","Battle of Verdun","The others are battles in ancient Greece."
"Hercules","Zeus","Tarzan","Achilles","Tarzan","The others are characters from Greek mythology."
"Profiterole","Cream Puff","Croissant","Bagel","Bagel","The others are French pastries."
"Parmenion","Antipater","Leonidas","Socrates","Socrates","The others are Macedonian generals"
"Marie Curie","Charles Darwin","Louis Pasteur","Albert Einstein","Albert Einstein","The others won Nobel Prize in Chemistry or Physiology or Medicine."
"obj_3: Edison's Phonograph",,,,,
"obj_4: Newton's Laws of Motion",,,,,
"odd: Newton's Laws of Motion",,,,,
"reason_for_similarity: The others are inventions by Thomas Edison.",,,,,
"Vaquita, Baiji Dolphin, Irrawaddy Dolphin, Orca, Orca, The others are freshwater dolphins.",,,,,
"obj_3: The Universe in a Nutshell",,,,,
"obj_4: A Brief History of Time",,,,,
"odd: A Brief History of Time",,,,,
"reason_for_similarity: The others are not written by Stephen Hawking",,,,,
"Jamaican Blue Mountain","Hawaiian Kona","Guatemalan Antigua","Colombian Supremo","Colombian Supremo","The others are Single Origin Coffees"
"Peter Griffin","Stewie Griffin","Lois Griffin","Brian Griffin","Brian Griffin","The others are humans"
"Aristotle's On the Heavens, Aristotle's Meteorology, Platonic Cosmology, Newton's Philosophiæ Naturalis Principia Mathematica, Newton's Philosophiæ Naturalis Principia Mathematica, The others are ancient Greek philosophical works.",,,,,
"Julius Caesar","Mark Antony","Cleopatra's Palace","The Roman Senate","Cleopatra's Palace","The others are related to Roman political figures."
"Zebra","Horse","Kangaroo","Elephant","Kangaroo","The others are ungulates"
"Vitruvian Man","Codex on the Flight of Birds","The Last Supper","Mona Lisa","Codex on the Flight of Birds","The others are paintings"
"Clownfish","Goldfish","Tuna","Sparrow","Sparrow","The others are fish"
"Thorny Devil","Frilled Lizard","Eastern Diamondback Rattlesnake","Golden Poison Frog","Golden Poison Frog","The others are reptiles."
"Cleopatra's Emerald","Cleopatra's Pearl","Cleopatra's Ruby","Ptolemy XIII","Ptolemy XIII","The others are Cleopatra's gems."
"Lady","Tramp","Simba","Bambi","Bambi","The others are dogs."
"The Pink Panthers Heist","The Banco Central Heist","The Boston Museum Heist","The Great Train Robbery","The Great Train Robbery","The others are building heists."
"Dachshund","Bichon Frise","Bulldog","German Shepherd","German Shepherd","The others are brachycephalic breeds"
"obj_3: Biscayne National Park",,,,,
"obj_4: Central Park",,,,,
"odd: Central Park",,,,,
"reason_for_similarity: The others are National Parks",,,,,
"New York","Pennsylvania","Oregon","Singapore","Singapore","The others are U.S. states."
"Mount Cook","Mount Fuji","Mount Blanc","Mount Everest","Mount Everest","The others are in the Pacific Ring of Fire."
"Cleopatra's Palace","Alexandria","Cleopatra's Needle","Rosetta Stone","Rosetta Stone","The others are associated with Cleopatra."
"Baloo","Mowgli","Bagheera","Shere Khan","Shere Khan","The others are friends."
"Reverend Lovejoy","Ned Flanders","Bart","Lisa","Lisa","The others are male characters in The Simpsons."
"Vodka","Whiskey","Apple Juice","Milk","Milk","The others are alcoholic"
"Jarlsberg","Gjetost","Queso Fresco","Camembert","Queso Fresco","The others are Norwegian cheeses."
"Jigsaw","Bandsaw","Hammer","Screwdriver","Hammer","The others are saws"
"Ruby Bridges, Linda Brown, Malala Yousafzai, Rosa Parks, Rosa Parks, The others fought for educational equality.",,,,,
"Lyceum","Academy","Stagira","Parthenon","Parthenon","The others are associated with Aristotle"
"Bell's Patent 174,465","Bell's Patent 186","Bell's Patent 161,739","Tesla's Patent 645,576","Tesla's Patent 645,576","The others are Bell's patents"
"Tiger Salamander","Axolotl","Poison Dart Frog","Komodo Dragon","Komodo Dragon","The others are amphibians."
"Mars Rover Spirit","Mars Rover Curiosity","Luna 3","Voyager 1","Voyager 1","The others are rovers that landed on a planet."
"Monkshood","Wolfsbane","Lily of the Valley","Rosemary","Rosemary","The others are poisonous plants"
"Melanoma","Basal Cell Carcinoma","Squamous Cell Carcinoma","Asthma","Asthma","The others are types of skin cancer"
"Polar Bear","Grizzly Bear","Kangaroo","Koala","Kangaroo","The others are native to the Arctic or Subarctic regions."
"Food Processor","Blender","Iron","Toaster","Iron","The others are used in food preparation."
"Cantabrian Mountains","Pyrenees","Andes","Mount Everest","Mount Everest","The others are in Spanish-speaking countries"
"Smoothie","Milkshake","Beer","Orange Juice","Beer","The others are non-alcoholic"
"Polenta, Risotto, Margherita, Croissant, Croissant, The others are Italian dishes.",,,,,
"Indus River","Ganges River","Danube River","Amazon River","Amazon River","The others are in Eurasia."
"Flamberge","Rapier","Halberd","Scimitar","Scimitar","The others are European origin weapons."
"Homo Sapiens","Homo Neanderthalensis","Homo Denisova","Pan Troglodytes","Pan Troglodytes","The others are species of the Homo genus."
"Paititi","El Dorado","Pompeii","Atlantis","Pompeii","The others are lost cities."
"Jane Wilde Hawking","Elaine Mason","Lucy Hawking","Robert Hawking","Elaine Mason","The others are Hawkings."
"Edison's Carbon Telephone Transmitter","Edison's Talking Doll","Pasteur's Rabies Vaccine","Edison's Phonograph","Pasteur's Rabies Vaccine","The others are inventions by Thomas Edison."
"Atlas","Sisyphus","Zeus","Apollo","Apollo","The others are punished by Zeus."
"Fly","Mosquito","Bee","Butterfly","Butterfly","The others are blood feeders"
"Ford's Theatre, Ford Field, Ford Foundation, Tom Ford, Tom Ford, The others are named after Henry Ford.",,,,,
"Monaco","Vatican City","Singapore","Toronto","Toronto","The others are city-states."
"obj_3: Lincoln's Horse",,,,,
"obj_4: Lincoln's Hat",,,,,
"odd: Lincoln's Hat",,,,,
"reason_for_similarity: The others are associated with Lincoln's death",,,,,
"Cordillera Central","Sierra Maestra","Western Ghats","Mount Everest","Mount Everest","The others are mountain ranges not the highest peak in their respective continents"
"Newfoundland, Saint Bernard, Poodle, Persian Cat, Persian Cat, The others are dog breeds.",,,,,
"Ballista","Trebuchet","Catapult","Lance","Lance","The others are siege weapons."
"obj_3: Dolphin",,,,,
"obj_4: Octopus",,,,,
"odd: Octopus",,,,,
"reason_for_similarity: The others are mammals",,,,,
"Dalai Lama","Thich Nhat Hanh","Pope Francis","Richard Dawkins","Richard Dawkins","The others are religious leaders"
"Teotihuacan","Chichen Itza","Hy-Brasil","Stonehenge","Hy-Brasil","The others are real, well-documented archaeological sites."
"Grand Teton National Park","Yellowstone National Park","Great Sand Dunes National Park","Central Park","Central Park","The others are National Parks"
"Gelato","Sorbet","Tiramisu","Pizza","Pizza","The others are desserts"
"Beaver","Otter","Rabbit","Snake","Snake","The others are mammals"
"Beast Boy","Raven","Falcon","Iron Man","Iron Man","The others can naturally fly"
"Duck, Swan, Kiwi, Eagle, Kiwi, The others can fly.",,,,,
"obj_3: Bell's aeronautical experiments",,,,,
"obj_4: Bell's telephone invention",,,,,
"odd: Bell's aeronautical experiments",,,,,
"reason_for_similarity: The others are related to communication.",,,,,
"Chicken Wrap","Beef Wrap","French Fries","Beef Stew","French Fries","The others are wrapped foods."
"obj_3: Denim Jacket",,,,,
"obj_4: Denim Shirt",,,,,
"odd: Leather Pants",,,,,
"reason_for_similarity: The others are made of Denim.",,,,,
"Tiger Barb","Cherry Barb","Swordtail","Clown Loach","Clown Loach","The others are Barbs"
"Laws of Motion","Law of Universal Gravitation","Laws of Thermodynamics","Pythagorean Theorem","Pythagorean Theorem","The others are laws in Physics"
"Tonkinese","Siamese","Maine Coon","Akita","Akita","The others are cat breeds"
"Gaul","Rome","Egypt","China","China","The others are ancient civilizations in the Mediterranean region."
"Bombay","Havana Brown","Maine Coon","Siamese","Siamese","The others are breeds of cats originating from the United States."
"Battle of Bunker Hill, Battle of Yorktown, Battle of Borodino, Battle of Waterloo, Battle of Borodino, The others are battles in the American Revolutionary War.",,,,,
"obj_3: Citizens United v. FEC",,,,,
"obj_4: Roe v. Wade",,,,,
"odd: Citizens United v. FEC",,,,,
"reason_for_similarity: The others are landmark Supreme Court cases involving individual rights related to personal relationships.",,,,,
"Hawking Energy","Hawking Radiation","E=mc^2","Planck's Constant","Planck's Constant","The others are associated with Stephen Hawking."
"Peach","Apricot","Cantaloupe","Raspberry","Raspberry","The others are stone fruits"
"Silk Dress","Cotton Dress","Silk Scarf","Cotton Shirt","Silk Scarf","The others are worn on the upper body"
"Free Education","Public Library","Bookstore","Private Tutor","Private Tutor","The others are free."
"Bell's work with the deaf","Bell's invention of the telephone","Bell's invention of the phonograph","Bell's creation of Bell's Theorem","Bell's creation of Bell's Theorem","The others are directly related to sound and communication"
"Caesar's Statue","Caesar's Palace","Caesar's Writings","Caesar Salad","Caesar Salad","The others are directly related to Julius Caesar"
"Single Mother","Single Father","Married Couple","Orphan Child","Orphan Child","The others have children"
"Betty Boop","Popeye","Olive Oyl","Mickey Mouse","Mickey Mouse","The others are characters created by Fleischer Studios."
"Triskaidekaphobia","Paraskevidekatriaphobia","Ombrophobia","Claustrophobia","Claustrophobia","The others are related to numbers"
"Germany","Austria","Japan","Brazil","Japan","The others are European countries"
"Tagliatelle","Vermicelli","Penne","Spaghetti","Vermicelli","The others are tube-shaped"
"India","China","Russia","Brazil","Brazil","The others are part of the BRICS without Brazil"
"Orca's Intelligence","Dolphin's Intelligence","Human's Intelligence","Orca's Strength","Orca's Strength","The others are types of Intelligence"
"Saving money for a house","Training for the Olympics","Shopping for clothes","Reading a book","Reading a book","The others are activities requiring financial investment"
"Pinocchio","Geppetto","Jiminy Cricket","Moby Dick","Moby Dick","The others are characters from the story 'Pinocchio'."
"Energy Drink","Sports Drink","Root Beer","Lemonade","Root Beer","The others are hydrating beverages."
"Canary","Finch","Emu","Penguin","Emu","The others are songbirds."
"Stand Mixer, Hand Mixer, Refrigerator, Microwave, Microwave, The others are types of mixers.",,,,,
"Cannon, Musket, Rapier, Crossbow, Rapier, The others are projectile weapons.",,,,,
"American Crow","Common Raven","American Flamingo","Bald Eagle","Bald Eagle","The others are black birds."
"Phyllis","Pythias","Xanthippe","Socrates","Socrates","The others are female names"
"Akita","Shiba Inu","Boxer","Siberian Husky","Siberian Husky","The others are breeds originated in Japan"
"Haleakala National Park","Hawaii Volcanoes National Park","Cuyahoga Valley National Park","Yosemite National Park","Yosemite National Park","The others are located in states that are part of an archipelago."
"1964 Civil Rights Act","1965 Voting Rights Act","1972 Title IX","1969 Stonewall Riots","1969 Stonewall Riots","The others are legislative acts"
"Clamp, Vice, Hammer, Wrench, Hammer, The others are clamping tools.",,,,,
"Saola","Addax","Tasmanian Tiger","Siberian Tiger","Tasmanian Tiger","The others are not extinct."
"Yemen Mocha Mattari","Ethiopian Harrar","Sumatra Lintong","Kenya AA","Kenya AA","The others are not African coffees"
"Cotton Sweater","Wool Sweater","Cotton Dress","Linen Pants","Wool Sweater","The others are made of cotton"
"Footprints","Knee Prints","Handprints","Snowflakes","Snowflakes","The others are types of human prints"
"Bubbles","Muscles","Janet Jackson","Rubber Band","Janet Jackson","The others are stretchable."
"Bell's work in Boston","Bell's work in Washington D.C.","Bell's work in Nova Scotia","Bell's work in London","Bell's work in London","The others are in North America"
"Homo Sapiens","Homo Denisova","Homo Heidelbergensis","Homo Erectus","Homo Erectus","The others are Homo species discovered in the 21st century"
"Orzo","Capellini","Rotini","Baguette","Baguette","The others are types of pasta"
"Sulawesi Toraja","Sumatra Mandheling","Tanzanian Peaberry","Colombian Supremo","Colombian Supremo","The others are Indonesian coffees"
"Swiss Chard","Spinach","Lettuce","Apple","Apple","The others are leafy vegetables"
"Stephen Hawking Medal","Nobel Prize in Physics","Breakthrough of the Year award","Olympic Gold Medal","Olympic Gold Medal","The others are awards for scientific achievement"
"Mysophobia","Xenophobia","Hydrophobia","Germophobia","Hydrophobia","The others are phobias related to cleanliness."
"Cotton Gin","Bessemer Process","Spinning Mule","Steam Engine","Steam Engine","The others are related to textile production"
"Right to nationality","Right to asylum","Freedom from torture","Right to vote","Right to vote","The others are inalienable human rights"
"Hellbender","Axolotl","Leopard Frog","Red Panda","Red Panda","The others are amphibians"
"Aristotle's Metaphysics","Aristotle's Physics","Socratic Ethics","Plato's Republic","Socratic Ethics","The others are works by Aristotle"
"Colombian Supremo","Mexican Altura","Tanzanian Peaberry","Russian Caravan","Russian Caravan","The others are types of coffee beans"
"Homo Erectus","Homo Heidelbergensis","Homo Denisova","Homo Sapiens","Homo Sapiens","The others are extinct human species"
"Delphi","Olympia","Rome","Machu Picchu","Machu Picchu","The others are ancient European cities."
"Stink Bug","Ladybug","Bed Bug","Spider","Spider","The others are bugs"
"Golden Retriever, Labrador Retriever, Dachshund, Lhasa Apso, Lhasa Apso, The others are Sporting Group dogs.",,,,,
"Chimpanzee","Human","Banana","Oak Tree","Oak Tree","The others are mammals."
"Chimpanzee","Human","Gorilla","Elephant","Elephant","The others are Hominidae."
"Electric Skillet","Electric Grill","Air Conditioner","Electric Fan","Air Conditioner","The others are used for cooking."
"Blueberry","Blackberry","Raspberry","Pineapple","Pineapple","The others are types of berries"
"Right to own property","Right to work","Right to a nationality","Right to bear arms","Right to bear arms","The others are Universal Human Rights"
"Goldfish","Clownfish","Swordfish","Sparrow","Sparrow","The others are fishes"
"Thonis-Heracleion","Canopus","Atlantis","Eldorado","Eldorado","The others are sunken cities."
"Belladonna","Henbane","Death Cap","Dandelion","Dandelion","The others are poisonous"
"Woodpecker","Sparrow","Kiwi","Penguin","Kiwi","The others are capable of flight"
"Brian Griffin","Stewie Griffin","Rupert","Peter Griffin","Rupert","The others are characters in Family Guy who can talk."
"The Last Supper","The Baptism of Christ","Codex Atlanticus","Mona Lisa","Mona Lisa","The others are not individual portraits."
"Orinoco River","Amazon River","Danube River","Lake Baikal","Lake Baikal","The others are rivers."
"Scholarship","Grant","Loan","Investment","Investment","The others are forms of aid."
"Homo Neanderthalensis","Homo Heidelbergensis","Homo Sapiens","Homo Floresiensis","Homo Floresiensis","The others are found in Europe"
"Turnip","Radish","Tomato","Potato","Tomato","The others are root vegetables"
"Wood Frog","Spring Peeper","Marbled Salamander","Red Fox","Red Fox","The others are amphibians."
"Crow","Raven","Kiwi","Parrot","Kiwi","The others are Corvids"
"2nd Amendment","15th Amendment","19th Amendment","21st Amendment","2nd Amendment","The others are Amendments that expanded voting rights"
"Ravioli","Tortellini","Prosciutto","Croissant","Croissant","The others are Italian cuisine."
"Mozzarella","Parmesan","Spaghetti","Tomato Sauce","Tomato Sauce","The others are types of Italian cheese"
"Royal Society","Cambridge University","Oxford University","Massachusetts Institute of Technology","Massachusetts Institute of Technology","The others are based in the UK"
"Gift","Donation","Purchase","Loan","Loan","The others are forms of giving without expectation of return"
"Brown Recluse","Black Widow","Tarantula","Jumping Spider","Jumping Spider","The others are venomous."
"Cleopatra's Death","Battle of Actium","Alexandria","Battle of Waterloo","Battle of Waterloo","The others are related to Ancient Egypt"
"Gouda","Edam","Ricotta","Cheddar","Ricotta","The others are hard cheeses"
"Oedipus","Antigone","Aeneas","Hamlet","Hamlet","The others are from Greek myths."
"Psoriasis","Eczema","Pneumonia","Asthma","Pneumonia","The others are skin conditions."
"Lois Griffin","Meg Griffin","Chris Griffin","Peter Griffin","Peter Griffin","The others are female characters."
"Spinach, Kale, Broccoli, Tomato, Tomato, The others are leafy greens.",,,,,
"Swordfish","Marlin","Salmon","Eagle","Eagle","The others are fish"
"Poison Dart Frog","Red-eyed Tree Frog","Smooth Newt","Komodo Dragon","Komodo Dragon","The others are amphibians."
"Symposium","Agora","Forum","Coliseum","Agora","The others are venues for debates"
"obj_3: Taking a shower",,,,,
"obj_4: Reading a book",,,,,
"odd: Taking a shower",,,,,
"reason_for_similarity: The others are activities that involve learning.",,,,,
"Diamond","Coal","Pearl","Gold","Pearl","The others are forms of carbon"
"Ford Model C","Ford Model F","Ford Model K","Ford Mustang","Ford Mustang","The others are Ford's antique models"
"Aristotle's Meteorology","Aristotle's On the Soul","Aristotle's Politics","Socratic Dialogue","Socratic Dialogue","The others are works by Aristotle"
"Brownie","Fudge","Marshmallow","Chocolate","Chocolate","The others are confections typically served in a square or rectangular shape."
"Tiramisu, Panna Cotta, Baklava, Cheesecake, Baklava, The others are Italian desserts.",,,,,
"Lyre","Aulos","Harp","Violin","Violin","The others are ancient Greek musical instruments"
"Rod","Todd","Homer","Marge","Homer","The others are characters with blue hair in The Simpsons"
"Channel Islands National Park","Virgin Islands National Park","Mount Rainier National Park","Central Park","Central Park","The others are National Parks"
"Margarita","Mojito","Iced Tea","Espresso","Espresso","The others are cold drinks"
"Asiago","Parmigiano-Reggiano","Neufchâtel","Gouda","Neufchâtel","The others are hard cheeses"
"The Boston Museum Heist","The Isabella Stewart Gardner Museum Heist","The Pink Panthers Heist","The Great Train Robbery","The Great Train Robbery","The others are museum heists"
"Shipyard","Boat Ramp","Lighthouse","Windmill","Windmill","The others are related to water navigation."
"Bat","Eagle","Squirrel","Dolphin","Dolphin","The others are mammals."
"New Hampshire","Maine","Arizona","California","Arizona","The others are coastal states."
"Alexander the Great","Theophrastus","Plato","Julius Caesar","Julius Caesar","The others are Greeks"
"Cheese Pizza","Pepperoni Pizza","Chicken Sandwich","Beef Burger","Beef Burger","The others are made with dough"
"Mesa Verde National Park","Chaco Culture National Historical Park","Glacier National Park","Yosemite National Park","Yosemite National Park","The others are UNESCO World Heritage Sites"
"Ford Model F","Ford Model B","Ford Model T","Chevrolet Corvette","Chevrolet Corvette","The others are Ford Models."
"American Shorthair","British Shorthair","Bengal","Maine Coon","Maine Coon","The others are short-haired breeds."
"Valley Forge","Bunker Hill","Fort Ticonderoga","Alcatraz Island","Alcatraz Island","The others are Revolutionary War battle sites."
"Coca Cola","Budweiser","Pepsi","Minute Maid","Budweiser","The others are soft drinks"
"Sphynx","Devon Rex","Maine Coon","Golden Retriever","Golden Retriever","The others are breeds of cats."
"Katana","Wakizashi","Javelin","Scimitar","Javelin","The others are curved swords."
"Manatee","Dugong","Dolphin","Hellbender","Hellbender","The others are marine mammals."
"Mr. Fantastic","Invisible Woman","Wonder Woman","Batman","Batman","The others are from Marvel."
"Bacon Burger","Cheese Burger","Beef Burrito","Chicken Salad","Chicken Salad","The others are beef-based."
"Steam Engine, Internal Combustion Engine, Telegraph, Bicycle, Telegraph, The others are engines.",,,,,
"Caesar's Civil War","Gallic Wars","Punic Wars","Trojan War","Trojan War","The others are wars led by Romans."
"Cleopatra's Needle, Cleopatra's Barge, Cleopatra's Pearl, Cleopatra's Asp, Cleopatra's Pearl, The others are large objects.",,,,,
"Tiramisu","Profiterole","Cupcake","Pancake","Pancake","The others are desserts made with cream"
"Dubai","Sydney","Tokyo","Singapore","Sydney","The others are city-states."
"Kim Possible","Ron Stoppable","Johnny Bravo","Dora Explorer","Johnny Bravo","The others are sidekicks."
"Ethiopian Sidamo","Yemen Mocha Mattari","Mexican Altura","Hawaiian Kona","Hawaiian Kona","The others are from countries that are landlocked."
"Quarterstaff","Bo Staff","Sling","Longbow","Sling","The others are types of staffs."
"Leopard Gecko","Crested Gecko","Green Sea Turtle","Red-Eared Slider","Leopard Gecko","The others are semi-aquatic reptiles."
"Sternum","Ribs","Humerus","Femur","Femur","The others are bones in the upper body"
"Bob the Builder","Wendy","Handy Manny","Thomas the Tank Engine","Thomas the Tank Engine","The others are human characters"
"Sausage Biscuit","Bacon Biscuit","Chicken Wrap","Chicken Biscuit","Chicken Wrap","The others are biscuits"
"Ralph, Milhouse, Moe, Bart, Moe, The others are children in The Simpsons.",,,,,
"Pelican","Cormorant","Sparrow","Bat","Bat","The others are birds that can swim"
"Chimpanzee","Orangutan","Gorilla","Termite mound","Termite mound","The others are primates."
"obj_3: The Congress of Vienna",,,,,
"obj_4: The American Revolution",,,,,
"odd: The American Revolution",,,,,
"reason_for_similarity: The others are related to France.",,,,,
"Lathe","Milling machine","Drill Press","Saw","Saw","The others are types of machine tools that remove material."
"Silver Needle Tea","White Peony Tea","Dragon Well Tea","Earl Grey Tea","Earl Grey Tea","The others are types of Chinese tea"
"Cannoli","Eclair","Sorbet","Bagel","Bagel","The others are desserts."
